date,coin_name,symbol,open_price,high_price,low_price,close_price,volume_24h,market_cap,daily_return_pct,volatility_pct,market_cap_rank,market_dominance_pct
2024-01-01,Bitcoin,BTC,43432.038607,44528.520703,43381.063333,43533.967714,19206069376.75,852321957643.82,0.0,0.0,1,56.364806494172505
2024-01-01,Ethereum,ETH,2379.670048,2410.262064,2374.185619,2390.804737,6144465985.16,288657963549.29,0.0,0.0,2,19.089206974598234
2024-01-01,Tether,USDT,0.987128,1.011308,0.991478,0.996173,2370558187.68,108066959095.7,0.0,0.0,3,7.14656378756377
2024-01-01,BNB,BNB,287.832237,289.70087,283.222725,289.407722,877175363.04,44798565670.62,0.0,0.0,5,2.962568853935573
2024-01-01,Solana,SOL,104.657628,106.239801,104.83048,105.291172,989986187.57,47987961805.08,0.0,0.0,4,3.1734864471524125
2024-01-01,XRP,XRP,0.576671,0.582569,0.56493,0.575469,803968987.83,31647367794.93,0.0,0.0,7,2.0928684821664234
2024-01-01,USD Coin,USDC,0.994341,0.999907,0.995614,0.997344,740611583.44,31965258697.46,0.0,0.0,6,2.113890889305732
2024-01-01,Cardano,ADA,0.548714,0.567418,0.555682,0.558561,412541503.79,19437068470.74,0.0,0.0,8,1.285390565550902
2024-01-01,Avalanche,AVAX,36.629653,36.624657,35.730425,36.291676,324956382.22,14291049962.56,0.0,0.0,9,0.9450798005545038
2024-01-01,Dogecoin,DOGE,0.087948,0.089401,0.087478,0.088112,262527356.45,12920388393.93,0.0,0.0,10,0.8544367361678955
2024-01-01,Polkadot,DOT,7.071116,7.143282,6.993298,7.00086,229946016.48,9707409469.32,0.0,0.0,11,0.641959592136394
2024-01-01,Chainlink,LINK,15.372432,15.4848,15.12748,15.135614,182384921.02,8883924553.49,0.0,0.0,13,0.5875018047763919
2024-01-01,Polygon,MATIC,0.778543,0.797893,0.793237,0.79433,147303595.41,7915577806.69,0.0,0.0,14,0.5234641761395237
2024-01-01,Litecoin,LTC,69.266273,70.156769,68.771318,69.615574,146439256.64,5166269963.78,0.0,0.0,15,0.34165001170461945
2024-01-01,Uniswap,UNI,6.713156,6.699942,6.639071,6.648753,108534646.19,4999679342.35,0.0,0.0,16,0.3306332262558398
2024-01-01,Cosmos,ATOM,9.850134,10.040161,9.780848,9.824487,79276217.61,3821506192.63,0.0,0.0,17,0.25271959161925706
2024-01-01,Stellar,XLM,0.119052,0.120773,0.119398,0.120015,96948561.37,3473913130.05,0.0,0.0,19,0.22973295431004218
2024-01-01,Filecoin,FIL,5.175177,5.192595,5.159025,5.179033,95653920.59,3065506423.29,0.0,0.0,20,0.20272465681048452
